CMDLINE .\SDL1.exe
MEM 2.109375 1721737153.6182
MEM 18.433594 1721737153.7186
MEM 57.613281 1721737153.8192
MEM 57.613281 1721737153.9196
MEM 57.613281 1721737154.0201
MEM 57.613281 1721737154.1208
MEM 57.628906 1721737154.2212
MEM 57.628906 1721737154.3218
MEM 57.628906 1721737154.4224
MEM 57.628906 1721737154.5226
MEM 57.628906 1721737154.6234
MEM 57.628906 1721737154.7238
MEM 57.628906 1721737154.8243
MEM 57.628906 1721737154.9247
MEM 57.628906 1721737155.0252
MEM 57.628906 1721737155.1257
MEM 57.628906 1721737155.2260
MEM 57.628906 1721737155.3266
MEM 57.628906 1721737155.4272
MEM 57.628906 1721737155.5277
MEM 57.628906 1721737155.6282
MEM 57.628906 1721737155.7285
MEM 57.640625 1721737155.8290
MEM 57.640625 1721737155.9296
MEM 57.640625 1721737156.0300
MEM 57.640625 1721737156.1306
MEM 57.640625 1721737156.2311
MEM 57.652344 1721737156.3316
MEM 57.671875 1721737156.4320
MEM 57.671875 1721737156.5325
MEM 57.671875 1721737156.6330
MEM 57.671875 1721737156.7333
MEM 57.671875 1721737156.8335
MEM 57.667969 1721737156.9340
MEM 57.667969 1721737157.0345
MEM 57.667969 1721737157.1348
MEM 57.679688 1721737157.2354
MEM 57.679688 1721737157.3361
MEM 57.679688 1721737157.4364
MEM 57.679688 1721737157.5370
MEM 57.679688 1721737157.6373
MEM 57.679688 1721737157.7377
MEM 57.679688 1721737157.8384
MEM 57.679688 1721737157.9388
MEM 57.679688 1721737158.0392
MEM 57.679688 1721737158.1396
MEM 57.679688 1721737158.2403
MEM 57.953125 1721737158.3406
MEM 58.000000 1721737158.4410
MEM 58.000000 1721737158.5413
MEM 58.000000 1721737158.6418
MEM 58.015625 1721737158.7425
MEM 58.015625 1721737158.8430
MEM 58.015625 1721737158.9437
MEM 58.027344 1721737159.0442
MEM 58.027344 1721737159.1445
MEM 58.027344 1721737159.2448
MEM 58.027344 1721737159.3454
MEM 58.027344 1721737159.4460
MEM 58.031250 1721737159.5465
MEM 58.035156 1721737159.6468
MEM 58.035156 1721737159.7470
MEM 58.035156 1721737159.8476
MEM 58.035156 1721737159.9482
MEM 58.035156 1721737160.0488
MEM 58.035156 1721737160.1494
MEM 58.035156 1721737160.2497
MEM 58.035156 1721737160.3502
MEM 58.035156 1721737160.4508
MEM 58.035156 1721737160.5514
MEM 58.035156 1721737160.6517
MEM 58.035156 1721737160.7521
MEM 58.035156 1721737160.8524
MEM 58.035156 1721737160.9526
MEM 58.039062 1721737161.0529
MEM 58.039062 1721737161.1533
MEM 58.039062 1721737161.2536
MEM 58.039062 1721737161.3541
MEM 58.039062 1721737161.4547
MEM 58.039062 1721737161.5552
MEM 58.042969 1721737161.6557
MEM 58.042969 1721737161.7563
MEM 58.042969 1721737161.8570
MEM 58.042969 1721737161.9577
MEM 58.042969 1721737162.0581
MEM 58.042969 1721737162.1585
MEM 58.042969 1721737162.2590
MEM 58.042969 1721737162.3596
MEM 58.042969 1721737162.4598
MEM 58.042969 1721737162.5603
MEM 58.042969 1721737162.6609
MEM 58.042969 1721737162.7612
MEM 58.042969 1721737162.8615
MEM 58.042969 1721737162.9622
MEM 58.042969 1721737163.0627
MEM 58.042969 1721737163.1630
MEM 58.042969 1721737163.2635
MEM 58.042969 1721737163.3639
MEM 58.042969 1721737163.4645
MEM 58.042969 1721737163.5647
MEM 58.042969 1721737163.6651
MEM 58.042969 1721737163.7654
MEM 58.042969 1721737163.8657
MEM 58.042969 1721737163.9664
MEM 58.042969 1721737164.0668
MEM 58.042969 1721737164.1672
MEM 58.042969 1721737164.2679
MEM 58.042969 1721737164.3685
MEM 58.042969 1721737164.4692
MEM 58.042969 1721737164.5694
MEM 58.042969 1721737164.6698
MEM 58.042969 1721737164.7701
MEM 58.042969 1721737164.8706
MEM 58.042969 1721737164.9711
MEM 58.042969 1721737165.0717
MEM 58.042969 1721737165.1724
MEM 58.042969 1721737165.2728
MEM 58.042969 1721737165.3733
MEM 58.042969 1721737165.4737
MEM 58.042969 1721737165.5741
MEM 58.042969 1721737165.6744
MEM 58.042969 1721737165.7750
MEM 58.042969 1721737165.8755
MEM 58.042969 1721737165.9759
MEM 58.042969 1721737166.0764
MEM 58.042969 1721737166.1769
MEM 58.042969 1721737166.2776
MEM 58.042969 1721737166.3782
MEM 58.042969 1721737166.4784
MEM 58.042969 1721737166.5790
MEM 58.042969 1721737166.6794
MEM 58.042969 1721737166.7797
MEM 58.042969 1721737166.8802
MEM 58.042969 1721737166.9807
MEM 58.042969 1721737167.0814
MEM 58.042969 1721737167.1819
MEM 58.042969 1721737167.2825
MEM 58.042969 1721737167.3832
MEM 58.042969 1721737167.4837
MEM 58.042969 1721737167.5841
MEM 58.042969 1721737167.6846
MEM 58.042969 1721737167.7854
MEM 58.042969 1721737167.8859
MEM 58.042969 1721737167.9862
MEM 58.042969 1721737168.0867
MEM 58.042969 1721737168.1873
MEM 58.042969 1721737168.2878
MEM 58.042969 1721737168.3882
MEM 58.042969 1721737168.4886
MEM 58.042969 1721737168.5893
MEM 58.042969 1721737168.6899
MEM 58.042969 1721737168.7903
MEM 58.042969 1721737168.8907
MEM 58.042969 1721737168.9913
MEM 58.042969 1721737169.0919
MEM 58.042969 1721737169.1926
MEM 58.042969 1721737169.2931
MEM 58.042969 1721737169.3935
MEM 58.042969 1721737169.4941
MEM 58.042969 1721737169.5944
MEM 58.042969 1721737169.6949
MEM 58.042969 1721737169.7953
MEM 58.042969 1721737169.8957
MEM 58.042969 1721737169.9960
MEM 58.042969 1721737170.0964
MEM 58.042969 1721737170.1970
MEM 58.042969 1721737170.2975
MEM 58.042969 1721737170.3982
MEM 58.042969 1721737170.4985
MEM 58.042969 1721737170.5991
MEM 58.042969 1721737170.6995
MEM 58.042969 1721737170.8000
MEM 58.042969 1721737170.9005
MEM 58.042969 1721737171.0010
MEM 58.042969 1721737171.1016
MEM 58.042969 1721737171.2020
MEM 58.042969 1721737171.3022
MEM 58.042969 1721737171.4025
MEM 58.042969 1721737171.5031
MEM 58.042969 1721737171.6037
MEM 58.042969 1721737171.7043
MEM 58.042969 1721737171.8045
MEM 58.042969 1721737171.9048
MEM 58.042969 1721737172.0051
MEM 58.042969 1721737172.1058
MEM 58.042969 1721737172.2062
MEM 58.042969 1721737172.3068
MEM 58.042969 1721737172.4072
MEM 58.042969 1721737172.5077
MEM 58.042969 1721737172.6080
MEM 58.042969 1721737172.7084
MEM 58.042969 1721737172.8090
MEM 58.042969 1721737172.9095
MEM 58.042969 1721737173.0097
MEM 58.042969 1721737173.1101
MEM 58.042969 1721737173.2104
MEM 58.042969 1721737173.3109
MEM 58.042969 1721737173.4116
MEM 58.042969 1721737173.5122
MEM 58.042969 1721737173.6128
MEM 58.042969 1721737173.7133
MEM 58.042969 1721737173.8135
MEM 58.042969 1721737173.9139
MEM 58.042969 1721737174.0141
MEM 58.042969 1721737174.1143
MEM 58.042969 1721737174.2148
MEM 58.042969 1721737174.3151
MEM 58.042969 1721737174.4154
MEM 58.042969 1721737174.5158
MEM 58.042969 1721737174.6165
MEM 58.042969 1721737174.7168
MEM 58.042969 1721737174.8171
MEM 58.042969 1721737174.9175
MEM 58.042969 1721737175.0181
MEM 58.042969 1721737175.1185
MEM 58.042969 1721737175.2190
